1 270.2 84.0 977.0 226.0 178.96332714768164
2 318.6714285714286 92.0 1477.0 218.5 265.9334514894996
3 267.12857142857143 55.0 1020.0 205.5 182.69567008414515
4 246.85714285714286 86.0 697.0 192.5 153.65520272692285
5 275.87142857142857 92.0 897.0 226.5 164.07933053274724
6 250.4 70.0 863.0 196.0 163.8223144893201
7 283.15714285714284 74.0 816.0 227.5 192.81932939625082
8 271.4142857142857 90.0 763.0 232.0 148.12925151798854
9 293.5571428571429 68.0 1556.0 227.0 245.34947779155348
10 339.72857142857146 109.0 1080.0 242.0 260.3421339469939
