1 59.22222222222222 37.0 95.0 58.0 11.289627115166407
2 65.21111111111111 36.0 105.0 63.0 14.19090897821436
3 67.58888888888889 44.0 103.0 68.0 11.61836442921238
4 74.24444444444444 51.0 110.0 74.0 12.69549253029462
5 74.34444444444445 49.0 111.0 73.5 13.611925629785501
6 80.56666666666666 52.0 123.0 79.0 13.91470808617973
7 81.93333333333334 57.0 115.0 79.5 13.653661483650179
8 90.57777777777778 55.0 130.0 88.0 15.36885642509653
9 92.32222222222222 66.0 122.0 90.0 12.466429327388878
10 97.04444444444445 70.0 158.0 94.0 16.77806962896528
