1 73.44166666666666 38.0 150.0 71.0 21.407921189033143
2 69.1923076923077 36.0 138.0 66.0 18.91109192336732
3 71.05384615384615 35.0 142.0 69.5 16.91396906209516
4 74.13076923076923 34.0 129.0 71.5 20.57747261567023
5 72.03636363636363 39.0 140.0 70.0 21.086074048187303
6 75.84166666666667 41.0 137.0 73.0 20.16903185426547
7 70.45 35.0 136.0 65.5 20.009178566117008
8 72.63333333333334 36.0 137.0 72.0 19.599748469202922
9 73.15 35.0 155.0 71.5 20.702010344969697
10 74.84 48.0 139.0 71.5 17.490961590882797
