1 804.9428571428572 9.0 4248.0 563.5 830.7291521450312
2 1915.2857142857142 167.0 8751.0 1230.0 2019.8348486287164
3 7051.442857142857 211.0 35076.0 5227.5 6866.57770514143
4 17408.614285714284 71.0 51237.0 14216.5 14241.83047314775
5 48430.28571428572 719.0 233565.0 31340.0 49126.94935502995
6 143224.17142857143 508.0 645420.0 116987.0 140320.7703347316
7 437866.4 10735.0 1894839.0 349823.0 386819.8462202989
8 1166033.7571428572 19424.0 4389157.0 994566.5 975347.4403674847
9 3668767.5285714287 9310.0 2.0268191E7 2311048.5 3994851.6587293632
10 7871095.7 173975.0 3.4621472E7 5271773.5 7630640.586688866
