1 47.855555555555554 31.0 75.0 47.0 10.359342644442687
2 49.68888888888889 29.0 74.0 48.5 11.576462408595638
3 50.98888888888889 32.0 99.0 48.5 12.677941955802869
4 49.2 30.0 83.0 48.0 11.367408566955353
5 50.233333333333334 30.0 97.0 47.0 13.33075349573478
6 50.0 34.0 82.0 48.5 9.751980496058511
7 49.855555555555554 29.0 79.0 48.0 10.61963531305441
8 51.77777777777778 30.0 83.0 50.0 11.737558823753501
9 50.0 29.0 107.0 48.5 12.352500542923337
10 53.522222222222226 32.0 93.0 51.5 13.176611709003103
