1 612.6168831168832 153.0 2131.0 543.0 335.43718758511113 0.03119944643764053
2 308.0584415584416 84.0 1006.0 268.0 162.6241740351822 0.030079916858577645
3 185.5 75.0 734.0 159.0 92.4330376516503 0.028392782357675162
4 177.84039087947883 66.0 789.0 146.0 101.31874216339351 0.032515482098529676
5 127.72312703583061 66.0 493.0 118.0 42.79008901947117 0.019120729581497225
6 120.6742671009772 60.0 252.0 116.0 30.70827456083437 0.014523508971949288
7 117.05882352941177 69.0 231.0 111.0 29.35396983102775 0.014335141206655197
8 113.1078431372549 66.0 228.0 110.0 27.039221129076868 0.013665978822720972
9 113.95098039215686 63.0 261.0 110.0 27.887259251204238 0.013990300883838208
10 111.86274509803921 60.0 225.0 108.0 27.439246470447383 0.014022517633653147
