2 49.92600422832981 27.0 100.0 48.0 11.494693888994048 0.010586198440622818
4 49.088 16.0 83.0 48.0 10.595911919112499 0.013651896818334956
6 49.54502369668246 12.0 82.0 48.0 10.969290960043972 0.015241836133346544
8 49.58723404255319 22.0 95.0 49.0 12.039990647646585 0.015838802164324886
10 50.29680365296804 16.0 85.0 50.0 12.357389751869915 0.016602148741705364
12 48.61755485893417 1.0 96.0 47.0 12.230920412146844 0.014085448683562684
14 48.90188679245283 14.0 87.0 48.0 11.893060278589601 0.01493980975490082
16 39.696969696969695 2.0 89.0 39.0 16.10327292468297 0.04076985815867362
