1 6.0 6.0 6.0 6.0 0.0 0.0
2 8.0 8.0 8.0 8.0 0.0 0.0
3 10.0 10.0 10.0 10.0 0.0 0.0
4 30.00423728813559 12.0 110.0 26.0 14.948744099760855 0.02293248492795178
5 76.7728237791932 16.0 378.0 60.0 58.24114748081156 0.03495521315059275
6 179.60683760683762 18.0 1110.0 132.0 165.19478903929766 0.04251581914347418
7 469.39823008849555 18.0 2560.0 330.0 434.4722626910238 0.043536287319429275
8 1236.2721382289417 30.0 7990.0 830.0 1315.2528189395894 0.049442982920282014
9 3222.192037470726 30.0 25258.0 2390.0 3174.2223668792567 0.047672945942314394
10 8152.728448275862 50.0 56340.0 5665.0 8760.596379714121 0.04988519848553603
