1 12.45 6.0 24.0 11.0 5.113832423073917 0.06494521296920232
2 15.9 8.0 30.0 15.0 5.123100023047945 0.05094548664683215
3 21.1 10.0 40.0 19.0 7.427599260139898 0.055659078694368674
4 23.45 14.0 38.0 22.0 6.671600738222906 0.044983910388155995
5 26.4 16.0 52.0 26.0 5.994869601456027 0.03590424662179339
6 32.25 20.0 52.0 32.0 7.417062795529003 0.03636404958506573
7 37.2 20.0 58.0 36.0 9.033271832508973 0.03839477649754221
8 40.3 24.0 62.0 40.0 8.419147895247551 0.0330318651449069
9 45.9 32.0 64.0 46.0 8.289010333428974 0.02855354270403845
10 48.35 32.0 70.0 48.0 8.411073287408321 0.027505841938790427
